eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
1.97E+11,1970,6,12,,0,,217,United States,1,North America,Illinois,Cairo,37.005105,-89.176269,1,0,,"6/12/1970: Unknown snipers fired on an Illinois State Police patrol attending to a fire at the Pyramid Courts housing project in Cairo, Illinois, United States.  Officer Marion Troutt was shot, but survived his wounds.  This incident took place during a period of high racial tension in Cairo.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Illinois State Police,Illinois State Police in the Pyramid Courts housing project,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,African American opposition to the police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Snipers,0,0,0,1,1,0,0,,,,,0,,,,,,,0,,,,,,,,,Officer Troutt was struck in the chest and leg.  Police did not believe that this incident was linked with the attempted bombing of the Alexander County Courthouse (197006120002).,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","""Cairo Chief Disengages Bomb Device,"" Southeast Missourian, June 12, 1970.",,Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,6,19,,0,,217,United States,1,North America,Illinois,Chicago,41.842602,-87.681229,1,0,74th and Union,"6/19/1970: Bruce Sharp and William Redwine, both African Americans, shot and killed Police Officer Kenneth Kaner as he was sitting in his squad car in Chicago Illinois, United States.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Chicago Police Officer,,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,African American opposition to the police,0,,,0,2,2,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,,,,,,,,,.12 gauge double barreled shotgun; .38 caliber revolver,1,1,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"Bruce Sharp and William Redwine and three others driving in the same car noticed Officer Kenneth Kaner sitting in his car and someone in the group shouted ""let's get him"" and/or ""let's get his gun.""","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Jody P. Weiss, State of Illinois, Prisoner Review Board, ""Murdered Chicago Police Officer Kenneth Kaner on June 19, 1970."" Illinois Department of Corrections, August 11, 2008.","""Races: Ambushes in Chicago,"" Time Magazine, August 24, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,6,19,,0,,217,United States,1,North America,California,San Francisco,37.755363,-122.443352,1,0,643 Waller Street,"6/19/1970: Police Officer Richard Radetich was shot and killed by an unknown perpetrator in San Francisco, California, United States.  While writing a ticket, a gunman pulled up to Officer Radetich in his car and shot him three times with a revolver.  The perpetrator immediately drove away.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,San Francisco Police Department,San Francisco police officer,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,.38 caliber revolver,1,1,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"Police originally arrested Joe Allen Johnson for the murder but released him due to lack of evidence.  The Zodiac killer is also believed to claim credit for this attack, but the authorities did not believe this was credible.  In 1970, there were two other police officers murdered by suspected Black Nationalists in Northern California while they were making traffic stops (197008060004 and 197008200003).","Jim Herron Zamora, ""1967-71: a Bloody Period For S.F. Police,"" San Francisco Chronicle, January 27, 2001.","""Chicago, Coast Policemen Shot,""  Baltimore Sun, June 20, 1970.","""Young Policeman Slain In Berkeley,"" New York Times, August 21, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,6,28,,0,,217,United States,1,North America,Michigan,Detroit,42.331685,-83.047924,1,0,,,1,1,1,0,,,0,0,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Detroit Police,Police Officers,217,United States,,,,,,,,,,,,,,,,,National Committee to Combat Fascism,,,,,,,0,,,0,2,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistols,0,,,3,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97E+11,1970,6,30,,0,,217,United States,1,North America,New Jersey,Plainfield,40.617623,-74.417061,1,0,West End District,"6/30/1970: Two policemen, Robert M. Perry and Robert G. Beck, were shot by snipers in Plainfield, New Jersey, United States after responding to a fire at a vacant shop.  Officer Perry would eventually die from his injuries.  City officials believed that radical African Americans intentionally set the fire to lure the policemen into the area.  Firefighters fighting the blaze were also shot at.",1,1,1,0,,,0,1,0,2,Armed Assault,7,Facility/Infrastructure Attack,,,3,Police,25,Police Security Forces/Officers,Police and firefighters of Plainfield New Jersey,Police and firefighters at the scene of a fire in the African American part of town in Plainfield New Jersey,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To spark community wide turmoil,1,,,0,-99,-99,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,8,Incendiary,18,Arson/Fire,,,,,,,,,Sniper fire; Arson,1,1,0,1,1,0,1,3,Minor (likely < $1 million),,,0,,,,,,,0,,,,,,,,,"This attack took place during heightened racial tensions in Plainfield New Jersey.  Over a year later, Police Officer Frank Buczek was killed two blocks away (197109180002).","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.","Francis X. Clines, ""2 Plainfield Police Shot at Fire Scene,"" New York Times, July 1, 1970.","Emanuel Perlmutter, ""Policemen Wounded In Jersey Disorder Dies After Surgery,"" New York Times, July 2, 1970.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,7,11,,0,,217,United States,1,North America,Massachusetts,New Bedford,41.637675,-70.930869,1,0,Around Kempton Street,"7/11/1970: Unknown White perpetrators fired shotgun blasts indiscriminately into a crowd of African American youths in New Bedford, Massachusetts, United States.  Lester Lima was killed and Kim Holland, Randall Robinson, and Gordon Ribiro were wounded.  This attack sparked widespread rioting by the African American community of New Bedford.",1,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71,Race/Ethnicity Identified,African Americans,African Americans in New Bedford Massachusetts,217,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,Intimidate the African American community of New Bedford Massachusetts.,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Shotgun blasts were fired in rapid succession.,1,1,0,3,3,0,0,,,,,0,,,,,,,0,,,,,,,,,"This attack greatly increased the racial strife of the already violent conflict between the White and Black communities of New Bedford.  The mayor of New Bedford instituted a curfew in response to the riots that spread of control as a result to this attack.  Three Whites, Ralph Brown, Gary DesLauriers, and George Rose, were arrested and charged for the crime but were eventually acquitted.","Bill Kovach, ""New Bedford Gets Curfew To Ease Racial Tensions,"" New York Times, July 13, 1970.","""New Bedford Negro Killed; 3 Are Held,"" New York Times, July 12, 1970.","""3 Youths Acquitted in Death of Negro in New Bedford,"" New York Times, May 19, 1971.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,7,17,,0,,217,United States,1,North America,Illinois,Chicago,41.842602,-87.681229,1,0,1150-1160 North Sedgwick Street,"7/17/1970: Chicago police officers Tony Rizzato and James Severin were killed by snipers while patrolling an open area at the Mother Cabrini Homes project in Chicago, Illinois, United States.  Two African Americans, Johnnie Veal and George Knights, were convicted of the murders.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Chicago Police Department,Chicago Police Officers patrolling the Mother Cabrini Homes project,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,2,2,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,Two 30-30 rifles,2,2,0,0,0,0,1,3,Minor (likely < $1 million),,Windows shattered at surrounding buildings,0,,,,,,,0,,,,,,,,,This was one of many sniping attacks against police in the Mother Cabrini Homes project.  The shots were fired from the sixth floor of an apartment building.  The perpetrators shot at the police as they attempted to tend to officers Severin and Rizzato.,"""Chicago Sniping Kills 2 Policemen,"" New York Times, July 18, 1970.","""3 Youths Charged in Sniper Killings,"" Washington Post, July 19, 1970.","""2 Convicted of Chicago Sniping,"" Milwaukee Journal, August 26, 1971.",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,7,31,,0,,217,United States,1,North America,North Carolina,Charlotte,35.2225,-80.837539,1,0,,"7/31/1970: Unknown perpetrators fired shotgun blasts at the house of the first African American family to move into a White neighborhood in Charlotte,North Carolina, United States.  There were no casualties but it is uknown if the house was damaged.",1,1,1,1,2,Other Crime Type,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,71,Race/Ethnicity Identified,White house in Black neighborhood,Home of Mr. & Mrs. Franklin Williams,217,United States,,,,,,,,,,,,,,,,,White extremists,,,,,,To scare the African American family into leaving neighborhood and to intimidate future African American families from moving into the neighborhood.,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),,,,,,,,,,,,,,0,0,0,0,0,0,-9,4,Unknown,,It is unknown if any of the bullets hit the house.,0,,,,,,,0,,,,,,,,,"The family earlier received a threatening note telling them to leave the neighborhood or they would be in danger.  Though the Williams were frightened, White neighbors consoled them and convinced them to stay in the neighborhood.","""N.C. Negroes Stay,"" Washington Post, September 6, 1970.",,,Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,8,6,,0,,217,United States,1,North America,California,San Jose,37.338475,-121.885794,1,0,Intersection of Santa Clara Street and 11th Street,"8/6/1970: Police Officer Richard Huerta was shot dead by Emile Thompson, a Black nationalist, while he was sitting in his car writing out a traffic ticket in San Jose, California, United Station.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,San Jose Police Department,San Jose police officer,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,1,1,0,,,,,,,,,,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,Six shots fired,1,1,0,0,0,0,0,,,,Four shots hit officer Huerta,0,,,,,,,0,,,,,,,,,"Emile Thompson claimed that he carried out the attack to get back at the 'pigs' who had harassed him, noting that Officer Huerta represented all 'pigs.'  In 1970, there were two other police officers murdered by suspected Black Nationalists in the Northern California area while they were making traffic stops (197008200003 and 197006190004).","Betty Barnacle, ""Chief Opposes Parole for Cop Killer,"" Mercury News, June 4, 1995.","""Young Policeman Slain In Berkeley,"" New York Times, August 21, 1970.","""SJPD Fallen Officers: Officer Richard E. Huerta,"" San Jose Police Department, 2010. <http://www.sjpd.org/InsideSJPD/Fallen/Huerta.html>",Hewitt Project,-9,-9,0,-9,
1.97E+11,1970,8,7,,0,,217,United States,1,North America,California,San Rafael,37.97457,-122.532474,1,0,,,1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,2,Government (General),14,Judge/Attorney/Court,,County Courthouse,217,United States,,,,,,,,,,,,,,,,,Jonathan Jackson Brigade,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,4,Rifle/Shotgun (non-automatic),5,Firearms,3,Handgun,,,,,,,,,Shotgun; Pistols,4,4,,2,2,,1,3,Minor (likely < $1 million),1000,,1,2,0,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,
1.97E+11,1970,8,20,,0,,217,United States,1,North America,California,Berkeley,37.874043,-122.280022,1,0,Intersection of Union Street and Jefferson Street,"8/20/1970: Police Officer Ronald T. Tsukamoto was shot and killed by an unknown perpetrator in Berkeley, California, United States.  While writing a ticket for a motorcyclist, a man walked up to Officer Tsukamoto and shot him  twice with a revolver.  The perpetrator immediately jumped in a car driven by an African American male and sped away.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Berkeley Police Department,Berkeley police officer,217,United States,,,,,,,,,,,,,,,,,Black Nationalists,,,,,,To kill police,0,,,0,-99,-99,0,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Revolver,1,1,0,0,0,0,0,,,,,0,,,,,,,0,,,,,,,,,"In 2005, police arrested Styles Frederick Price and Don Juan Warren Graphenreed, believing that Price carried out the murder and Graphenreed drove the getaway car.  However, the District Attorney of Alameda County declined to charge the suspects.  In 1970, there were two other police officers murdered by suspected Black Nationalists in the Northern California area while they were making traffic stops (197008060004 and 197006190004).","""Young Policeman Slain In Berkeley,"" New York Times, August 21, 1970.","Dorothy Vriend, ""D.A. Declines To Charge Suspects In '70 Slaying,"" Contra Costa Times, August 19, 1970.","""Officer Slain Writing Ticket,"" St. Petersburg, August 21, 1970.",Hewitt Project,-9,-9,0,-9,
